ticket_id,purchase_date,ticket_created_at,first_response_at,resolved_at,agent_name,team,channel,priority,ticket_type,status,sla_target_hours,response_time_hours,resolution_time_hours,sla_breached,csat_score
T00032,2021-12-20 00:00:00,2022-05-24 17:59:12,2022-05-25 13:53:33,2022-05-30 15:55:20,Daniel,Technical Support,Social media,Medium,Technical issue,Closed,8,19.905944388582412,141.93557792068006,Yes,1.9545269382948338
T00033,2021-12-07 00:00:00,2022-11-07 14:24:31,2022-11-07 20:01:50,2022-11-08 19:37:19,Emma,Billing Support,Chat,Medium,Billing inquiry,Closed,8,5.622110887567771,29.213468329877358,No,
T00034,2021-12-09 00:00:00,2022-05-11 15:45:29,2022-05-11 20:39:00,2022-05-13 16:25:59,Noah,Billing Support,Social media,Critical,Refund request,Closed,2,4.8920235039461675,48.67511884045717,Yes,3.9814529747952476
T00035,2021-04-09 00:00:00,2021-08-02 15:53:41,2021-08-03 07:39:51,2021-08-03 17:12:46,Noah,Billing Support,Chat,Low,Refund request,Closed,24,15.76958898736073,25.318291105476987,No,
T00036,2020-10-13 00:00:00,2022-04-10 12:21:47,2022-04-10 20:02:39,2022-04-12 02:47:03,Anna,General Support,Chat,High,Cancellation request,Closed,4,7.681158168809042,38.42115761385961,Yes,1.0
T00037,2020-03-14 00:00:00,2021-02-18 12:29:00,2021-02-18 20:49:17,2021-02-19 04:23:55,Emma,Billing Support,Email,Medium,Refund request,Closed,8,8.338139567148962,15.915294150494633,Yes,
T00038,2020-09-02 00:00:00,2021-12-15 16:13:30,2021-12-16 04:09:06,2021-12-17 10:11:11,Anna,General Support,Chat,Medium,Product inquiry,Closed,8,11.92677557709616,41.96147543301432,Yes,
T00039,2021-09-10 00:00:00,2021-08-09 17:32:40,2021-08-09 20:57:32,2021-08-11 01:01:45,Sofia,Technical Support,Phone,Critical,Technical issue,Closed,2,3.4146208468091688,31.4847873072026,Yes,2.5468494226301117
T00040,2021-10-22 00:00:00,2021-07-06 17:54:06,2021-07-07 01:04:04,2021-07-10 06:14:02,Anna,General Support,Social media,Medium,Product inquiry,Closed,8,7.166207611515845,84.3323246356133,No,
T00041,2021-02-07 00:00:00,2022-05-15 13:11:48,2022-05-17 00:06:29,2022-05-17 09:03:27,Anna,General Support,Phone,Low,Product inquiry,Closed,24,34.91149431570364,43.86097251667347,Yes,
T00042,2021-06-09 00:00:00,2021-12-26 14:36:19,2021-12-26 15:57:26,2021-12-28 16:02:13,Emma,Billing Support,Chat,Critical,Billing inquiry,Closed,2,1.3521842932933474,49.431783239530496,No,2.26124170110822
T00043,2020-10-10 00:00:00,2021-03-16 15:33:54,2021-03-17 00:58:25,2021-03-18 16:46:19,Mia,General Support,Phone,Medium,Product inquiry,Closed,8,9.408646679029413,49.20714952377207,Yes,
T00044,2020-01-16 00:00:00,2021-11-06 09:22:39,2021-11-09 07:24:59,2021-11-09 14:59:29,Sofia,Technical Support,Email,Low,Technical issue,Closed,24,70.03913252643825,46.56776918705303,Yes,
T00045,2021-09-25 00:00:00,2021-01-25 09:53:47,2021-01-25 13:24:23,2021-01-26 12:58:11,Noah,Billing Support,Email,Critical,Refund request,Closed,2,3.510128677369136,27.073403740440448,Yes,1.9505873479335878
T00046,2021-02-01 00:00:00,2021-12-06 10:36:59,2021-12-08 03:35:40,2021-12-08 19:47:20,Lukas,General Support,Chat,Low,Product inquiry,Closed,24,40.978224773500116,21.826370485652483,Yes,
T00047,2020-10-15 00:00:00,2021-07-06 18:14:24,2021-07-06 21:42:31,2021-07-08 08:34:16,Emma,Billing Support,Phone,High,Refund request,Closed,4,3.4687298959284147,38.33118217130838,No,1.0
T00048,2020-07-29 00:00:00,2021-08-19 08:15:16,2021-08-20 04:22:39,2021-08-22 19:36:13,Jonas,Technical Support,Social media,Medium,Technical issue,Closed,8,20.123239343572827,83.34929194167782,Yes,1.0
T00049,2021-02-15 00:00:00,2022-07-28 14:22:05,2022-07-28 21:09:35,2022-07-30 07:15:53,Anna,General Support,Chat,High,Cancellation request,Closed,4,6.7917364392602195,40.89693179228387,Yes,
T00050,2020-09-27 00:00:00,2022-08-31 14:55:29,2022-08-31 23:39:17,2022-09-08 03:46:40,Sofia,Technical Support,Chat,Medium,Technical issue,Closed,8,8.730003526528161,180.85327481704775,Yes,
T00051,2020-12-22 00:00:00,2022-04-07 18:59:08,2022-04-07 22:16:07,2022-04-08 23:41:12,Noah,Billing Support,Chat,Medium,Refund request,Closed,8,3.283255680210245,28.701120904871615,No,
T00052,2020-11-20 00:00:00,2022-09-19 09:54:59,2022-09-19 16:19:32,2022-09-20 18:02:47,Emma,Billing Support,Chat,Medium,Refund request,Closed,8,6.409239465695978,32.13004946114587,Yes,1.712546316268432
T00053,2021-10-10 00:00:00,2021-10-07 17:48:27,2021-10-07 21:39:41,2021-10-08 16:26:50,Noah,Billing Support,Social media,High,Refund request,Closed,4,3.853894471125032,22.639810378100325,Yes,2.4254908022510393
T00054,2021-08-16 00:00:00,2022-06-08 16:24:29,2022-06-10 18:16:16,,Lukas,General Support,Chat,Low,Cancellation request,Pending Customer Response,24,49.863237766444996,18.909204853557423,Yes,2.923814052648852
T00055,2021-10-14 00:00:00,2021-10-14 08:44:21,2021-10-15 01:28:31,2021-10-16 15:33:34,Jonas,Technical Support,Chat,Low,Technical issue,Closed,24,16.73613333982033,54.82031896802637,No,
T00056,2021-11-19 00:00:00,2022-05-15 09:52:41,2022-05-15 14:15:25,2022-05-16 14:51:46,Anna,General Support,Chat,Critical,Cancellation request,Closed,2,4.378982534199482,28.984730306348528,Yes,
T00057,2021-12-22 00:00:00,2022-10-01 16:06:20,2022-10-02 01:48:46,2022-10-09 21:38:53,Daniel,Technical Support,Social media,Medium,Technical issue,Closed,8,9.707495030606479,197.54266669754654,Yes,
T00058,2020-07-28 00:00:00,2022-04-11 18:42:22,2022-04-11 20:43:48,2022-04-13 20:35:07,Noah,Billing Support,Email,Critical,Refund request,Closed,2,2.0240098469090455,49.87919761042949,Yes,
T00059,2020-07-31 00:00:00,2022-02-13 11:00:06,2022-02-13 17:24:52,2022-02-19 00:50:10,Sofia,Technical Support,Phone,Medium,Technical issue,Closed,8,6.41279747452623,133.83458218505675,No,4.1607798499465725
T00060,2021-09-05 00:00:00,2021-04-27 13:21:10,2021-04-27 23:11:42,2021-04-29 21:01:15,Anna,General Support,Chat,Medium,Product inquiry,Closed,8,9.84236891614148,55.668332667971626,Yes,2.761089150313256
T00061,2020-11-16 00:00:00,2022-08-25 09:57:06,2022-08-26 03:05:29,2022-08-27 12:52:42,Lukas,General Support,Chat,Medium,Cancellation request,Closed,8,17.13977352788364,50.926882490139306,Yes,1.0
T00062,2021-11-21 00:00:00,2022-06-20 18:38:23,2022-06-20 22:12:39,2022-06-22 03:52:52,Anna,General Support,Social media,Critical,Product inquiry,Closed,2,3.5712668423551652,33.24149187108251,Yes,
T00063,2020-12-12 00:00:00,2021-07-12 10:21:30,2021-07-12 14:48:04,2021-07-12 22:48:52,Noah,Billing Support,Email,High,Billing inquiry,Closed,4,4.443051893167504,12.4561483878173,Yes,3.6050484197032504
T00064,2020-04-24 00:00:00,2022-04-23 13:11:24,2022-04-23 15:17:32,2022-04-26 04:42:41,Emma,Billing Support,Phone,High,Billing inquiry,Closed,4,2.102243558947922,63.52151509384075,No,
T00065,2021-08-02 00:00:00,2021-06-05 18:44:00,2021-06-06 00:53:23,2021-06-09 12:21:12,Jonas,Technical Support,Phone,Medium,Technical issue,Closed,8,6.156520321555844,89.62023796495858,No,
T00066,2021-11-11 00:00:00,2022-03-28 08:10:20,2022-03-28 19:57:53,2022-04-03 20:11:23,Sofia,Technical Support,Phone,Medium,Technical issue,Closed,8,11.792537394867534,156.0176727248382,Yes,
T00067,2021-08-08 00:00:00,2021-05-30 16:26:11,2021-05-30 23:23:02,2021-06-01 16:32:23,Noah,Billing Support,Email,High,Billing inquiry,Closed,4,6.947618623298221,48.103432082976965,Yes,4.692958975094779
T00068,2021-06-27 00:00:00,2022-01-02 16:12:07,2022-01-03 06:28:18,2022-01-05 06:20:51,Anna,General Support,Phone,Low,Cancellation request,Closed,24,14.269867513581836,62.14576363419457,No,
T00069,2021-02-06 00:00:00,2021-01-19 12:23:24,2021-01-19 14:38:01,2021-01-23 00:29:23,Daniel,Technical Support,Chat,Critical,Technical issue,Closed,2,2.2437501569780767,84.09985106910281,Yes,
T00070,2020-02-13 00:00:00,2022-05-12 17:56:01,2022-05-12 20:46:31,2022-05-15 09:27:27,Emma,Billing Support,Chat,High,Refund request,Closed,4,2.8417352443067623,63.52390776820352,No,1.0
T00071,2021-05-15 00:00:00,2021-05-09 15:01:15,2021-05-10 01:10:21,,Anna,General Support,Chat,Medium,Cancellation request,Pending Customer Response,8,10.151849359315225,26.444226417275193,Yes,
T00072,2020-09-26 00:00:00,2022-03-26 17:34:32,2022-03-27 03:59:44,2022-03-27 06:15:42,Noah,Billing Support,Social media,Medium,Refund request,Closed,8,10.420122798256521,12.686132515457322,Yes,
T00073,2021-02-16 00:00:00,2022-05-25 16:43:39,2022-05-26 03:20:30,2022-05-28 13:17:13,Noah,Billing Support,Chat,Low,Billing inquiry,Closed,24,10.61423564449176,68.55960957564838,No,2.9525782917148233
T00074,2020-11-09 00:00:00,2022-02-13 16:10:58,2022-02-13 21:41:56,2022-02-14 16:58:59,Mia,General Support,Social media,Critical,Cancellation request,Closed,2,5.516197483609299,24.800439629064257,Yes,2.160335884050542
T00075,2021-04-16 00:00:00,2021-05-02 13:30:36,2021-05-02 15:58:47,2021-05-04 02:34:11,Noah,Billing Support,Email,Critical,Billing inquiry,Closed,2,2.4697447191337307,37.05986649889332,Yes,
T00076,2021-01-06 00:00:00,2021-12-25 12:40:05,2021-12-25 15:13:00,2021-12-26 00:45:36,Anna,General Support,Chat,Critical,Product inquiry,Closed,2,2.5488588977744486,12.092203320321568,Yes,1.0
T00077,2020-06-30 00:00:00,2022-11-25 13:38:34,2022-11-25 16:02:12,2022-11-25 23:56:26,Mia,General Support,Phone,Critical,Cancellation request,Closed,2,2.3940072199283406,10.297976214358123,Yes,
T00078,2020-12-29 00:00:00,2022-01-02 13:40:45,2022-01-03 16:43:00,2022-01-04 22:28:18,Emma,Billing Support,Email,Low,Billing inquiry,Closed,24,27.037632997967545,56.79250412475071,Yes,4.246925252919173
T00079,2021-01-07 00:00:00,2021-03-08 15:21:46,2021-03-08 21:43:25,2021-03-10 04:40:09,Noah,Billing Support,Social media,Medium,Billing inquiry,Closed,8,6.360931991019632,37.30663450524272,No,
T00080,2020-11-03 00:00:00,2021-05-01 09:20:28,2021-05-01 10:58:55,2021-05-01 20:28:26,Sofia,Technical Support,Chat,Critical,Technical issue,Closed,2,1.64085346024747,11.13289575859122,No,
T00081,2021-03-22 00:00:00,2021-12-10 10:22:23,2021-12-10 12:22:07,2021-12-11 01:23:06,Jonas,Technical Support,Phone,Critical,Technical issue,Closed,2,1.9955796627122313,15.012041686458522,Yes,
T00082,2021-07-22 00:00:00,2021-08-14 11:55:02,2021-08-14 20:58:56,2021-08-15 20:12:51,Anna,General Support,Email,Medium,Cancellation request,Closed,8,9.065015743762523,32.297088816378796,Yes,
T00083,2021-10-04 00:00:00,2021-11-17 14:40:25,2021-11-18 09:14:22,2021-11-18 18:07:49,Noah,Billing Support,Social media,Low,Refund request,Closed,24,18.56591998083606,27.45686983573071,No,1.0
T00084,2021-08-11 00:00:00,2022-02-04 15:57:33,2022-02-04 16:28:36,,Daniel,Technical Support,Phone,Critical,Technical issue,Pending Customer Response,2,0.5176581237904119,94.6095058630062,No,
T00085,2021-08-02 00:00:00,2022-05-01 15:27:59,2022-05-02 03:44:22,,Daniel,Technical Support,Phone,Medium,Technical issue,Pending Customer Response,8,12.273270575172432,67.41152198548377,Yes,
T00086,2021-01-22 00:00:00,2021-08-15 16:04:36,2021-08-15 23:53:25,,Mia,General Support,Social media,High,Product inquiry,Pending Customer Response,4,7.813695497664061,18.854392614094618,Yes,
T00087,2020-01-18 00:00:00,2022-08-10 18:17:12,2022-08-10 22:44:22,2022-08-16 19:45:22,Jonas,Technical Support,Phone,Critical,Technical issue,Closed,2,4.452940732599902,145.46967743397425,Yes,1.0
T00088,2020-09-10 00:00:00,2022-08-10 10:05:40,2022-08-10 14:06:10,2022-08-17 21:32:23,Daniel,Technical Support,Social media,High,Technical issue,Closed,4,4.008376293166909,179.44541043550583,Yes,
T00089,2021-08-01 00:00:00,2022-10-17 08:29:29,2022-10-17 08:59:21,2022-10-19 15:31:51,Emma,Billing Support,Email,Critical,Billing inquiry,Closed,2,0.49801348914952615,55.03961834103124,No,
T00090,2020-01-30 00:00:00,2021-08-13 17:11:22,2021-08-14 11:13:11,2021-08-14 14:01:55,Lukas,General Support,Email,Medium,Product inquiry,Closed,8,18.03036343024764,20.8425736936893,Yes,4.538653667469639
T00091,2020-10-15 00:00:00,2021-05-26 09:46:57,2021-05-26 11:30:34,2021-05-27 06:36:22,Emma,Billing Support,Phone,High,Refund request,Closed,4,1.7270051079404583,20.82367342695114,No,
T00092,2021-11-14 00:00:00,2022-02-08 08:22:43,2022-02-09 01:18:26,,Lukas,General Support,Email,Low,Product inquiry,Pending Customer Response,24,16.928846224450737,36.76261058294223,No,
T00093,2021-05-27 00:00:00,2022-03-11 09:37:21,2022-03-13 22:33:12,2022-03-14 21:58:55,Sofia,Technical Support,Email,Low,Technical issue,Closed,24,60.9308675044099,38.69586620812089,Yes,
T00094,2021-05-24 00:00:00,2022-08-29 10:34:50,2022-08-30 01:50:10,2022-09-01 07:27:47,Noah,Billing Support,Email,Low,Refund request,Closed,24,15.255569887528324,68.8825117591932,No,
T00095,2021-12-06 00:00:00,2022-11-05 13:14:15,2022-11-05 15:06:53,2022-11-07 12:07:06,Anna,General Support,Phone,Critical,Product inquiry,Closed,2,1.8774119935915814,46.88104676361429,Yes,
T00096,2021-10-02 00:00:00,2022-10-27 10:10:01,2022-10-27 12:42:27,2022-10-29 02:45:47,Lukas,General Support,Chat,High,Product inquiry,Closed,4,2.54064907090401,40.59633737815494,No,3.6343761850714156
T00097,2020-10-25 00:00:00,2022-12-05 14:52:38,2022-12-05 17:49:03,2022-12-08 01:42:13,Mia,General Support,Social media,High,Cancellation request,Closed,4,2.940397964313698,58.82644505361089,Yes,
T00098,2020-01-18 00:00:00,2022-05-29 11:05:29,2022-05-29 14:43:57,2022-05-31 17:25:52,Mia,General Support,Email,High,Product inquiry,Closed,4,3.641218284628634,54.33984081526471,Yes,
T00099,2020-09-09 00:00:00,2021-09-23 09:36:51,2021-09-23 12:36:30,2021-09-23 21:41:36,Emma,Billing Support,Chat,High,Billing inquiry,Closed,4,2.9943658509392357,12.079224913427602,No,4.454984495469367
T00100,2020-05-15 00:00:00,2021-04-30 11:19:42,2021-05-01 22:21:17,2021-05-03 16:34:10,Jonas,Technical Support,Chat,Low,Technical issue,Closed,24,35.02651685037664,77.24121686834283,Yes,
T00101,2020-05-31 00:00:00,2022-11-29 16:09:28,2022-11-30 03:09:08,2022-12-01 09:46:53,Anna,General Support,Email,High,Cancellation request,Closed,4,10.994714327003845,41.6237240928254,Yes,
T00102,2021-08-01 00:00:00,2022-12-26 11:59:33,2022-12-26 13:17:03,2022-12-28 05:05:01,Emma,Billing Support,Phone,Critical,Billing inquiry,Closed,2,1.2918423815385593,41.091163033550515,No,
T00103,2021-01-26 00:00:00,2022-11-12 12:21:07,2022-11-12 16:32:32,2022-11-13 09:36:33,Noah,Billing Support,Email,Critical,Refund request,Closed,2,4.190356154335609,21.25724880088109,Yes,1.6012842544253059
T00104,2020-02-24 00:00:00,2022-12-06 12:56:30,2022-12-06 17:40:25,2022-12-07 04:59:56,Emma,Billing Support,Chat,High,Refund request,Closed,4,4.7321276186299635,16.05744505814925,Yes,
T00105,2021-06-27 00:00:00,2022-06-05 11:21:48,2022-06-05 15:57:53,2022-06-08 05:03:32,Noah,Billing Support,Phone,High,Refund request,Closed,4,4.6014033224035025,65.69569855553512,Yes,
T00106,2021-07-17 00:00:00,2022-11-26 10:14:37,2022-11-26 12:44:40,2022-11-27 09:11:37,Lukas,General Support,Chat,Critical,Product inquiry,Closed,2,2.5009620844111544,22.95024129636899,Yes,
T00107,2021-05-20 00:00:00,2021-08-11 17:09:17,2021-08-12 05:49:01,2021-08-13 21:30:14,Lukas,General Support,Email,Low,Cancellation request,Closed,24,12.662455544681473,52.34938561549862,No,1.5427697302281174
T00108,2021-06-09 00:00:00,2022-09-08 08:48:10,2022-09-08 17:16:33,2022-09-14 23:43:11,Jonas,Technical Support,Email,High,Technical issue,Closed,4,8.473101636262983,158.91704127435634,Yes,
T00109,2020-01-08 00:00:00,2022-12-21 09:35:04,2022-12-21 14:15:09,2022-12-22 15:06:47,Sofia,Technical Support,Chat,Critical,Technical issue,Closed,2,4.66832785705574,29.528685457097147,Yes,2.521316194643865
T00110,2020-03-10 00:00:00,2022-10-24 14:46:10,2022-10-25 02:25:55,2022-10-28 01:53:44,Mia,General Support,Email,High,Product inquiry,Closed,4,11.662707373664505,83.1262650687449,Yes,
T00111,2021-07-28 00:00:00,2022-11-20 16:50:54,2022-11-20 23:22:36,2022-11-21 19:43:47,Lukas,General Support,Email,High,Cancellation request,Closed,4,6.528457921449362,26.881402235767695,Yes,1.0
T00112,2021-11-29 00:00:00,2022-12-16 12:06:31,2022-12-16 18:42:24,2022-12-19 07:19:05,Noah,Billing Support,Phone,High,Refund request,Closed,4,6.598071631639253,67.20949750353682,Yes,
T00113,2020-03-24 00:00:00,2022-03-01 12:40:39,2022-03-02 07:49:40,2022-03-03 19:00:08,Anna,General Support,Social media,Medium,Product inquiry,Closed,8,19.15029261265694,54.3249475176708,Yes,
T00114,2021-11-12 00:00:00,2022-03-21 12:58:42,2022-03-21 16:28:23,2022-03-21 19:35:28,Anna,General Support,Email,High,Cancellation request,Closed,4,3.494826129225781,6.612784782509554,Yes,1.0
T00115,2020-09-20 00:00:00,2022-07-29 10:10:32,2022-07-29 21:29:06,2022-07-29 22:56:05,Mia,General Support,Email,High,Cancellation request,Closed,4,11.309555834987377,12.759349542833187,Yes,1.0
T00116,2021-01-16 00:00:00,2022-03-31 12:35:27,2022-03-31 16:09:22,2022-04-02 11:06:42,Jonas,Technical Support,Email,Critical,Technical issue,Closed,2,3.5655031780741213,46.521037875727444,Yes,
T00117,2021-11-27 00:00:00,2021-07-03 16:15:43,2021-07-04 00:35:06,2021-07-04 23:38:40,Lukas,General Support,Email,High,Cancellation request,Closed,4,8.323201889849424,31.38257997789025,Yes,4.623051436729052
T00118,2020-02-16 00:00:00,2022-08-16 08:52:08,2022-08-16 12:16:58,2022-08-19 16:18:31,Emma,Billing Support,Phone,Medium,Billing inquiry,Closed,8,3.4140553473040565,79.43987136430127,No,3.7825585622245863
T00119,2020-08-17 00:00:00,2022-12-03 08:37:07,2022-12-03 13:34:16,2022-12-06 13:37:45,Noah,Billing Support,Email,High,Refund request,Closed,4,4.95276433021402,77.01064966406454,Yes,
T00120,2021-07-31 00:00:00,2022-12-17 12:11:20,2022-12-18 20:35:34,2022-12-21 20:07:23,Noah,Billing Support,Phone,Low,Billing inquiry,Closed,24,32.40403380945177,103.93421904735881,Yes,1.0
T00121,2021-03-11 00:00:00,2021-07-07 12:22:23,2021-07-07 22:16:05,2021-07-09 18:31:51,Emma,Billing Support,Chat,Medium,Billing inquiry,Closed,8,9.89509265627598,54.15777915430797,Yes,
T00122,2021-03-03 00:00:00,2022-03-01 13:37:22,2022-03-01 16:59:34,2022-03-02 11:21:12,Anna,General Support,Chat,Critical,Product inquiry,Closed,2,3.3700819929381205,21.730720969005315,Yes,
T00123,2020-10-03 00:00:00,2022-10-25 08:13:35,2022-10-26 21:46:04,2022-10-27 16:26:32,Emma,Billing Support,Social media,Low,Refund request,Closed,24,37.54159553421532,56.21588048237503,Yes,
T00124,2021-12-27 00:00:00,2022-09-18 18:03:47,2022-09-19 16:45:19,2022-09-24 08:18:56,Lukas,General Support,Email,Low,Product inquiry,Closed,24,22.692448902870428,134.25264178115475,Yes,
T00125,2021-03-23 00:00:00,2022-11-16 10:52:35,2022-11-16 14:10:01,2022-11-24 23:39:06,Sofia,Technical Support,Phone,High,Technical issue,Closed,4,3.2905669890394154,204.77546125784244,Yes,
T00126,2020-06-27 00:00:00,2022-06-25 10:33:15,2022-06-25 19:48:20,2022-06-27 15:15:15,Emma,Billing Support,Chat,Medium,Refund request,Closed,8,9.251520421050667,52.70023200288602,Yes,
T00127,2020-06-22 00:00:00,2022-01-16 13:38:45,2022-01-18 04:40:11,2022-01-18 22:55:57,Emma,Billing Support,Social media,Low,Billing inquiry,Closed,24,39.02401112932908,18.787342839833613,Yes,
T00128,2020-09-28 00:00:00,2021-07-29 09:03:22,2021-07-29 22:58:59,2021-07-31 09:53:34,Emma,Billing Support,Email,Low,Refund request,Closed,24,13.927145607833552,48.836836636513866,No,
